C100212	C100106
C100213	C100106
C100214	C100106
C100215	C100106
C100216	C100106
C100217	C100106
C100218	C100106
C100219	C100106
C10022	C61063
C801	C360
C827	C699
C100220	C100106
C100221	C100106
C100222	C100106
C100223	C100106
C100224	C100106
C100225	C100106
C100226	C100106
C100227	C100106
C100228	C100106
C100229	C100106
C10023	C63360
C63360	C62634
C1820	C663
C100230	C100106
C100231	C100106
C100232	C100106
C100233	C100106
C100234	C100106
C100235	C100106
C100236	C100106
C100237	C100106
C100238	C100106
C100239	C100106
C10024	C67204
C100240	C100106
C100241	C100106
C100242	C100106
C100243	C100106
C100244	C100106
C100245	C100106
C100246	C100106
C100247	C100106
C100248	C100106
C100249	C100106
C10025	C61063
C100250	C100106
C100251	C100106
C100252	C100106
C100253	C100106
C100254	C100106
C100255	C100106
C100256	C100106
C100257	C100106
C100258	C100106
C100259	C100106
C10026	C61063
C362	C697
C930	C932
C930	C67422
C100260	C100106
C100261	C100106
C100262	C100106
C100263	C100106
C100264	C100106
C100265	C100106
C100266	C100106
C100267	C100106
C100268	C100106
C100269	C100106
C10027	C61007
C100270	C100106
C100271	C100106
C100272	C100106
C100273	C100106
C100274	C100106
C100275	C100106
C100276	C100106
C100277	C100106
C100278	C100106
C100279	C100106
C10028	C63496
C63496	C159460
C349	C699
C100280	C100106
C100281	C100106
C100282	C100106
C100283	C100106
C100284	C100106
C100285	C100106
C100286	C100106
C100287	C100107
C100288	C100107
C100289	C100107
C10029	C61063
C617	C699
C627	C697
C100290	C100107
C100291	C100107
C100292	C100107
C100293	C100107
C100294	C100107
C100295	C100107
C100296	C100107
C100297	C100107
C100298	C100107
C100299	C100107
C1003	C259
C1003	C74526
C259	C186664
C74526	C129824
C10030	C63510
C100300	C100107
C100301	C100107
C100302	C100107
C100303	C100107
C100304	C100107
C100305	C100107
C100306	C100107
C100307	C100107
C100308	C100107
C100309	C100107
C10031	C63510
C1326	C67502
C1735	C2153
C1735	C511
C1739	C932
C1739	C67422
C412	C204
C160950	C54443
C100310	C100107
C100311	C100107
C100312	C100107
C100313	C100107
C100314	C100107
C100315	C100107
C100316	C100107
C100317	C100107
C100318	C100107
C100319	C100107
C10032	C61063
C100320	C100107
C100321	C100107
C100322	C100107
C100323	C100107
C100324	C100107
C100325	C100107
C100326	C100107
C100327	C100107
C100328	C100107
C100329	C100107
C10033	C61063
C100330	C100107
C100331	C100107
C100332	C100107
C100333	C100107
C100334	C100107
C100335	C100107
C100336	C100107
C100337	C100107
C100338	C100107
C100339	C100107
C10034	C61063
C100340	C100107
C100341	C100107
C100342	C100107
C100343	C100107
C100344	C100107
C100345	C100107
C100346	C100107
C100347	C100107
C100348	C100107
C100349	C100107
C10035	C61007
C100350	C100107
C100351	C100107
C100352	C100107
C100353	C100107
C100354	C100107
C100355	C100107
C100356	C100108
C100357	C100108
C100358	C100108
C100359	C100108
C10036	C63589
C63589	C173974
C63589	C186720
C63589	C159872
C100360	C100108
C100361	C100108
C100362	C100108
C100363	C100108
C100364	C100108
C100365	C100108
C100366	C100108
C100367	C100108
C100368	C100108
C100369	C100108
C10037	C61063
C411	C902
C100370	C100108
C100371	C100108
C100372	C100109
C100373	C100109
C100374	C100109
C100375	C100109
C100376	C100109
C100377	C100109
C100378	C100109
C100379	C100109
C10038	C61063
C876	C1556
C876	C2254
C100380	C100109
C100381	C100109
C100382	C100109
C100383	C100109
C100384	C100109
C100385	C100109
C100386	C100109
C100387	C100109
C100388	C100109
C100389	C100109
C10039	C61063
C2349	C129822
C2349	C20401
C488	C2080
C100390	C62087
C62087	C62085
C100391	C83501
C83501	C62085
C186326	C186339
C71152	C66830
C71152	C77526
C71153	C66830
C71153	C77526
C100392	C100114
C100393	C100114
C100394	C100114
C100395	C100114
C100396	C100114
C100397	C100114
C100398	C100127
C100399	C100127
C1004	C2500
C2500	C1934
C10040	C61063
C1492	C1288
C607	C2078
C100400	C100127
C100401	C100127
C100402	C100127
C100403	C100127
C100404	C100127
C100405	C100127
C100406	C100127
C100407	C100127
C100408	C100127
C100409	C100127
C10041	C61063
C100410	C100127
C100411	C100127
C100412	C100127
C100413	C100127
C100414	C100127
C100415	C100127
C100416	C100127
C100417	C100116
C100418	C48938
C48938	C74944
C100419	C48938
C10042	C61063
C100420	C75340
C75340	C74675
C100422	C62662
C62662	C49286
C100423	C80160
C80160	C16723
C100424	C49286
C49286	C74944
C100425	C74949
C74949	C49237
C100427	C64430
C190082	C28533
C100428	C64430
C84429	C28533
C100429	C64430
C10043	C61063
C100430	C64430
C94622	C21275
C100431	C64430
C24446	C25775
C100432	C64430
C104137	C25939
C100433	C64430
C116606	C25790
C142800	C142799
C100434	C80163
C80163	C64430
C100435	C64430
C100436	C64430
C107571	C20194
C100437	C64430
C100438	C64430
C100439	C75913
C75913	C74972
C10044	C61063
C100440	C75913
C100441	C75913
C100442	C67208
C67208	C28133
C100443	C67208
C100444	C67208
C100445	C67208
C100446	C28133
C28133	C49286
C28133	C48938
C100447	C49237
C49237	C74944
C100448	C49237
C100449	C90505
C90505	C74972
C10045	C61063
C661	C2076
C661	C2090
C100450	C90505
C100452	C49188
C100452	C16723
C16723	C74944
C49188	C74944
C120527	C66830
C120528	C66830
C163030	C77526
C163031	C77526
C100453	C49188
C100454	C96683
C100454	C81971
C81971	C81869
C96683	C16723
C26517	C26511
C100455	C81972
C100455	C96683
C81972	C81869
C100456	C81969
C100456	C96683
C81969	C81869
C100457	C16723
C100458	C16723
C26591	C25941
C100459	C16723
C10046	C61063
C587	C593
C100460	C154747
C154747	C16723
C62778	C16617
C100461	C16723
